imagename,indic, height
NRmarshDN-12-02-13-03-45.jpg,0,54.007
NRmarshDN-12-02-13-04-00.jpg,0,49.752
NRmarshDN-12-02-13-04-15.jpg,0,45.966
NRmarshDN-12-02-13-04-30.jpg,0,42.479
NRmarshDN-12-02-13-04-45.jpg,0,39.246
NRmarshDN-12-02-13-05-00.jpg,0,36.377
NRmarshDN-12-02-13-05-15.jpg,0,33.576
NRmarshDN-12-02-13-05-30.jpg,0,31.014
NRmarshDN-12-02-13-05-45.jpg,0,28.518
NRmarshDN-12-02-13-06-00.jpg,0,26.055
NRmarshDN-12-02-13-06-15.jpg,0,23.623
NRmarshDN-12-02-13-06-30.jpg,0,21.296
NRmarshDN-12-02-13-06-45.jpg,0,19.42
NRmarshDN-12-02-13-07-00.jpg,0,17.611
NRmarshDN-12-02-13-07-15.jpg,0,16.155
NRmarshDN-12-02-13-07-30.jpg,0,14.8
NRmarshDN-12-02-13-07-45.jpg,0,13.704
NRmarshDN-12-02-13-08-00.jpg,0,12.972
NRmarshDN-12-02-13-08-15.jpg,0,12.418
NRmarshDN-12-02-13-08-30.jpg,0,12.225
NRmarshDN-12-02-13-08-45.jpg,0,12.131
NRmarshDN-12-02-13-09-00.jpg,0,12.062
NRmarshDN-12-02-13-09-15.jpg,0,12.136
NRmarshDN-12-02-13-09-30.jpg,0,12.266
NRmarshDN-12-02-13-09-45.jpg,0,12.228
NRmarshDN-12-02-13-10-00.jpg,0,13.844
NRmarshDN-12-02-13-10-15.jpg,0,16.93
NRmarshDN-12-02-13-10-30.jpg,0,54.654
NRmarshDN-12-02-13-10-45.jpg,0,54.611
NRmarshDN-12-02-13-11-00.jpg,0,34.936
NRmarshDN-12-02-13-11-15.jpg,0,40.297
NRmarshDN-12-02-13-11-30.jpg,0,45.196
NRmarshDN-12-02-13-11-45.jpg,0,49.931
NRmarshDN-12-02-13-12-00.jpg,0,54.48
NRmarshDN-12-02-13-12-15.jpg,0,58.407
NRmarshDN-12-02-13-12-30.jpg,0,62.198
NRmarshDN-12-02-13-12-45.jpg,0,65.803
NRmarshDN-12-02-13-13-00.jpg,0,68.703
NRmarshDN-12-02-13-13-15.jpg,0,70.691
NRmarshDN-12-02-13-13-30.jpg,0,72.364
NRmarshDN-12-02-13-13-45.jpg,,
NRmarshDN-12-02-13-14-00.jpg,,
NRmarshDN-12-02-13-14-15.jpg,381,47.01
NRmarshDN-12-02-13-14-30.jpg,0,72.132
NRmarshDN-12-02-13-14-45.jpg,0,69.323
NRmarshDN-12-02-13-15-00.jpg,0,66.006
NRmarshDN-12-02-13-15-15.jpg,0,61.885
NRmarshDN-12-02-13-15-30.jpg,0,57.52
NRmarshDN-12-02-13-15-45.jpg,0,53.671
NRmarshDN-12-02-13-16-00.jpg,0,49.34
NRmarshDN-12-02-13-16-15.jpg,0,45.544
NRmarshDN-12-02-13-16-30.jpg,0,42.162
NRmarshDN-12-02-13-16-45.jpg,0,38.804
NRmarshDN-12-02-13-17-00.jpg,0,35.757
NRmarshDN-12-02-13-17-15.jpg,0,32.838
NRmarshDN-12-02-13-17-30.jpg,0,30.056
NRmarshDN-12-02-13-17-45.jpg,0,27.369
NRmarshDN-12-02-13-18-00.jpg,0,24.917
NRmarshDN-12-02-13-18-15.jpg,0,22.293
NRmarshDN-12-02-13-18-30.jpg,0,20.089
NRmarshDN-12-02-13-18-45.jpg,0,18.089
NRmarshDN-12-02-13-19-00.jpg,0,16.366
NRmarshDN-12-02-13-19-15.jpg,0,14.901
NRmarshDN-12-02-13-19-30.jpg,0,13.805
NRmarshDN-12-02-13-19-45.jpg,0,12.901
NRmarshDN-12-02-13-20-00.jpg,0,12.315
NRmarshDN-12-02-13-20-15.jpg,0,12.023
NRmarshDN-12-02-13-20-30.jpg,0,11.898
NRmarshDN-12-02-13-20-45.jpg,0,12.016
NRmarshDN-12-02-13-21-00.jpg,0,11.888
NRmarshDN-12-02-13-21-15.jpg,0,11.922
NRmarshDN-12-02-13-21-30.jpg,0,11.932
NRmarshDN-12-02-13-21-45.jpg,0,11.874
NRmarshDN-12-02-13-22-00.jpg,0,11.867
NRmarshDN-12-02-13-22-15.jpg,0,11.87
NRmarshDN-12-02-13-22-30.jpg,0,13.161
NRmarshDN-12-02-13-22-45.jpg,0,17.118
NRmarshDN-12-02-13-23-00.jpg,0,21.74
NRmarshDN-12-02-13-23-15.jpg,0,26.358
NRmarshDN-12-02-13-23-30.jpg,0,31.299
NRmarshDN-12-02-13-23-45.jpg,0,36.375
NRmarshDN-12-02-14-00-00.jpg,0,41.552
NRmarshDN-12-02-14-00-15.jpg,0,46.759
NRmarshDN-12-02-14-00-45.jpg,0,56.491
NRmarshDN-12-02-14-01-00.jpg,0,61.073
NRmarshDN-12-02-14-01-15.jpg,0,64.987
