date,imagename,height
12-03-29-23-00,NRmarshDN-12-03-29-23-00.jpg,25.75
12-03-30-01-30,NRmarshDN-12-03-30-01-30.jpg,63.5
12-03-30-04-30,NRmarshDN-12-03-30-04-30.jpg,49
12-03-30-10-45,NRmarshDN-12-03-30-10-45.jpg,21.75
12-03-30-14-00,NRmarshDN-12-03-30-14-00.jpg,61
12-03-30-17-00,NRmarshDN-12-03-30-17-00.jpg,39
12-03-30-19-30,NRmarshDN-12-03-30-19-30.jpg,21
12-03-30-22-00,NRmarshDN-12-03-30-22-00.jpg,14.75
12-03-31-00-30,NRmarshDN-12-03-31-00-30.jpg,51.5
12-03-31-02-45,NRmarshDN-12-03-31-02-45.jpg,74.75
12-03-31-05-15,NRmarshDN-12-03-31-05-15.jpg,63.75
12-03-31-07-30,NRmarshDN-12-03-31-07-30.jpg,34.9
12-03-31-10-15,NRmarshDN-12-03-31-10-15.jpg,19.5
12-03-31-13-00,NRmarshDN-12-03-31-13-00.jpg,42.25
12-04-01-00-45,NRmarshDN-12-04-01-00-45.jpg,36.25
12-04-01-05-30,NRmarshDN-12-04-01-05-30.jpg,66.7
12-04-01-08-30,NRmarshDN-12-04-01-08-30.jpg,36.75
12-04-01-11-15,NRmarshDN-12-04-01-11-15.jpg,17
12-04-01-13-15,NRmarshDN-12-04-01-13-15.jpg,41.5
12-04-01-15-45,NRmarshDN-12-04-01-15-45.jpg,74.25
12-04-01-18-30,NRmarshDN-12-04-01-18-30.jpg,73.75
12-04-01-21-00,NRmarshDN-12-04-01-21-00.jpg,41.5
12-04-01-23-45,NRmarshDN-12-04-01-23-45.jpg,31.5
12-04-02-02-15,NRmarshDN-12-04-02-02-15.jpg,52.25
12-04-02-04-45,NRmarshDN-12-04-02-04-45.jpg,81.25
12-04-02-07-15,NRmarshDN-12-04-02-07-15.jpg,78.5
12-04-02-09-30,NRmarshDN-12-04-02-09-30.jpg,38
